id,name,role,country,basePrice,style,photoUrl,status,soldTo,soldPrice
76,Mitchell Santner,All-rounder,New Zealand,1.5,Left-hand/Spin,https://documents.iplt20.com/ipl/IPLHeadshot2025/75.png,unsold,,0
77,Shardul Thakur,All-rounder,India,1.5,Right-hand/Fast,https://documents.iplt20.com/ipl/IPLHeadshot2025/105.png,unsold,,0
78,Will Jacks,All-rounder,England,1.5,Right-hand/Spin,https://static.toiimg.com/photo/120897186.cms,unsold,,0
79,Marcus Stoinis,All-rounder,Australia,1.5,Right-hand/Fast,https://documents.iplt20.com/ipl/IPLHeadshot2025/23.png,unsold,,0
80,Marco Jansen,All-rounder,South Africa,1.5,Left-hand/Fast,https://documents.iplt20.com/ipl/IPLHeadshot2025/586.png,unsold,,0
81,Sam Curran,All-rounder,England,1.5,Left-hand/Fast,https://documents.iplt20.com/ipl/IPLHeadshot2025/138.png,unsold,,0
82,Riyan Parag,All-rounder,India,1.0,Right-hand/Spin,https://documents.iplt20.com/ipl/IPLHeadshot2025/189.png,unsold,,0
83,Romario Shepherd,All-rounder,West Indies,1.0,Right-hand/Fast,https://documents.iplt20.com/ipl/IPLHeadshot2025/371.png,unsold,,0
84,Venkatesh Iyer,All-rounder,India,1.5,Left-hand/Fast,https://documents.iplt20.com/ipl/IPLHeadshot2025/584.png,unsold,,0
85,Krunal Pandya,All-rounder,India,1.5,Left-hand/Spin,https://documents.iplt20.com/ipl/IPLHeadshot2025/17.png,unsold,,0
86,Tim David,All-rounder,Australia,1.0,Right-hand/Fast,https://documents.iplt20.com/ipl/IPLHeadshot2025/636.png,unsold,,0
87,Nitish Kumar Reddy,All-rounder,India,0.75,Right-hand/Fast,https://documents.iplt20.com/ipl/IPLHeadshot2025/1944.png,unsold,,0
88,Liam Livingstone,All-rounder,England,2.0,Right-hand/Spin,https://documents.iplt20.com/ipl/IPLHeadshot2025/183.png,unsold,,0
89,Harshal Patel,Bowler,India,1.0,Medium,https://documents.iplt20.com/ipl/IPLHeadshot2025/114.png,unsold,,0
90,Jacob Duffy,Bowler,New Zealand,1.0,Fast,https://images.icc-cricket.com/image/upload/t_player-headshot-portrait-lg-webp/prd/assets/players/8322/57672.png,unsold,,0
91,Bhuvneshwar Kumar,Bowler,India,1.5,Swing,https://documents.iplt20.com/ipl/IPLHeadshot2025/15.png,unsold,,0
